1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,0,1
1,0,0,0,1,1,1,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,2
1,0,11,0,0,0,0,0,0,0,1,2
2,1,1,0,0,0,0,0,0,0,1,2
2,2,1,0,0,0,0,0,0,0,0,1
2,1,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,13,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,11,0,0,0,0,0,0,0,1
2,1,1,1,0,0,0,0,0,0,0,1
2,2,1,1,1,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,11,0,1,2
1,0,0,0,0,0,0,0,1,1,2,2
1,0,0,0,13,0,0,0,1,1,1,2
1,0,0,1,1,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,11,0,0,0,1,2
1,0,0,0,0,0,1,1,0,0,1,2
1,0,0,0,0,0,0,0,0,0,1,2
2,1,1,0,0,0,0,0,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,13,0,0,1
1,0,0,0,0,0,1,1,1,0,0,1
1,0,0,13,0,0,0,0,0,0,0,1
2,1,1,1,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,11,0,1
2,1,0,0,0,0,0,0,0,1,1,2
1,0,0,0,0,0,0,0,0,0,0,1
1,9,9,9,1,1,1,9,9,9,9,1
1,11,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,1
2,2,1,1,0,0,0,0,13,0,0,1
2,2,1,1,0,0,0,0,1,1,1,2
2,1,0,0,0,0,0,0,0,1,1,2
1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,1,10,10,10,10,1,1,1,2
2,2,2,1,0,0,0,0,1,2,2,2
2,2,2,1,0,0,0,0,1,2,2,2
